Age,Rack,Repetition,Replicate,Tube,Nuclear,Mito,Diet,Time (sec),Dy (Vertical Velocity) (px/sec),Dz (Speed),Dy (cm/sec),Mean Velocity (cm/sec),Dy,Dz
young,2,1,1,13,3,I,IV,3,133.334,133.999,3.82401912,3.68378826,,
young,2,1,1,13,3,I,IV,6,154.666,154.758,4.43582088,,,
young,2,1,1,13,3,I,IV,9,33.334,34.999,0.95601912,,,
young,2,1,1,14,3,I,IV,3,0,8,0,,,
young,2,1,1,14,3,I,IV,6,105.333,106.014,3.02095044,,,
young,2,1,1,14,3,I,IV,9,189.334,189.376,5.43009912,,,
young,2,1,1,15,3,I,IV,3,190.667,190.784,5.46832956,,,
young,2,1,1,15,3,I,IV,6,86.666,86.922,2.48558088,,,
young,2,1,1,15,3,I,IV,9,184,184.391,5.27712,,,
young,2,1,1,16,3,I,IV,3,185.334,185.722,5.31537912,,,
young,2,1,1,16,3,I,IV,6,161.333,161.333,4.62703044,,,
young,2,1,1,16,3,I,IV,9,117.333,117.605,3.36511044,,,
young,2,1,1,17,3,I,II,3,46.667,47.348,1.33840956,3.76345174,,
young,2,1,1,17,3,I,II,6,84,84.011,2.40912,,,
young,2,1,1,17,3,I,II,9,114.666,115.777,3.28862088,,,
young,2,1,1,18,3,I,II,3,145.333,145.828,4.16815044,,,
young,2,1,1,18,3,I,II,6,178.667,178.712,5.12416956,,,
young,2,1,1,18,3,I,II,9,162.666,162.715,4.66526088,,,
young,2,1,1,19,3,I,II,3,145.334,145.432,4.16817912,,,
young,2,1,1,19,3,I,II,6,153.333,153.542,4.39759044,,,
young,2,1,1,19,3,I,II,9,126.667,127.115,3.63280956,,,
young,2,1,1,20,3,I,II,3,92,92.01,2.63856,,,
young,2,1,1,20,3,I,II,6,168,168.005,4.81824,,,
young,2,1,1,20,3,I,II,9,157.333,157.474,4.51231044,,,
young,2,1,1,21,3,I,V,3,144,144.616,4.12992,2.36132,,
young,2,1,1,21,3,I,V,6,112,112.507,3.21216,,,
young,2,1,1,21,3,I,V,9,181.333,181.411,5.20063044,,,
young,2,1,1,22,3,I,V,3,104,104.307,2.98272,,,
young,2,1,1,22,3,I,V,6,96,96.009,2.75328,,,
young,2,1,1,22,3,I,V,9,80,80,2.2944,,,
young,2,1,1,23,3,I,V,3,114.667,114.737,3.28864956,,,
young,2,1,1,23,3,I,V,6,81.333,81.344,2.33263044,,,
young,2,1,1,23,3,I,V,9,50.667,50.947,1.45312956,,,
young,2,1,1,24,3,I,V,3,-12,12.074,-0.34416,,,
young,2,1,1,24,3,I,V,6,36,36,1.03248,,,
young,2,1,1,24,3,I,V,9,0,13.333,0,,,
young,3,1,1,1,15,B,IV,3,112,112.071,3.21216,2.75965413,,
young,3,1,1,1,15,B,IV,6,56,56.569,1.60608,,,
young,3,1,1,1,15,B,IV,9,141.333,141.358,4.05343044,,,
young,3,1,1,2,15,B,IV,3,25.334,25.334,0.72657912,,,
young,3,1,1,2,15,B,IV,6,101.333,101.473,2.90623044,,,
